Mittauspisteen tunnus;Tuotteen tyyppi;Resoluutio;Yksikkötyyppi;Alkuaika;Määrä;Laatu
;;PT1H;kWh;2022-10-26T11:00:00Z;1,15;OK
;;PT1H;kWh;2022-10-26T12:00:00Z;null;MISSING
;;PT1H;kWh;2022-10-26T13:00:00Z;null;MISSING
;;PT1H;kWh;2022-10-26T14:00:00Z;null;MISSING
;;PT1H;kWh;2022-10-26T15:00:00Z;null;MISSING
;;PT1H;kWh;2022-10-26T16:00:00Z;null;MISSING
;;PT1H;kWh;2022-10-26T17:00:00Z;null;MISSING
;;PT1H;kWh;2022-10-26T18:00:00Z;null;MISSING
;;PT1H;kWh;2022-10-26T19:00:00Z;null;MISSING
;;PT1H;kWh;2022-10-26T20:00:00Z;null;MISSING
